National Code,AQF Level,Title,TGA Status,State Code,Nominal Hours,Type,QA,StateCode,NatCode,NatTitle,NatCodeAndTitle
BSB10115,Certificate I in,Business,Current,AVU7,150,Qualification,AVU7,AVU7,BSB10115,Business,BSB10115 Certificate I in Business
BSB20115,Certificate II in,Business,Current,AVU8,325,Qualification,AVU8,AVU8,BSB20115,Business,BSB20115 Certificate II in Business
BSB20215,Certificate II in,Customer Engagement,Current,AVQ9,385,Qualification,AVQ9,AVQ9,BSB20215,Customer Engagement,BSB20215 Certificate II in Customer Engagement
BSB30115,Certificate III in,Business,Current,AVR7,420,Qualification,AVR7,AVR7,BSB30115,Business,BSB30115 Certificate III in Business
BSB30215,Certificate III in,Customer Engagement,Current,AVS6,385,Qualification,AVS6,AVS6,BSB30215,Customer Engagement,BSB30215 Certificate III in Customer Engagement
BSB30315,Certificate III in,Micro Business Operations,Current,AVT8,380,Qualification,AVT8,AVT8,BSB30315,Micro Business Operations,BSB30315 Certificate III in Micro Business Operations
BSB30415,Certificate III in,Business Administration,Current,AVS2,420,Qualification,AVS2,AVS2,BSB30415,Business Administration,BSB30415 Certificate III in Business Administration
BSB30515,Certificate III in,Business Administration (International Education),Current,AVR6,485,Qualification,AVR6,AVR6,BSB30515,Business Administration (International Education),BSB30515 Certificate III in Business Administration (International Education)
BSB30615,Certificate III in,International Trade,Current,AVS0,390,Qualification,AVS0,AVS0,BSB30615,International Trade,BSB30615 Certificate III in International Trade
BSB30715,Certificate III in,Work Health and Safety,Current,AVV3,305,Qualification,AVV3,AVV3,BSB30715,Work Health and Safety,BSB30715 Certificate III in Work Health and Safety
BSB30815,Certificate III in,Recordkeeping,Current,AVS7,375,Qualification,AVS7,AVS7,BSB30815,Recordkeeping,BSB30815 Certificate III in Recordkeeping
BSB30915,Certificate III in,Business Administration (Education),Current,AVV0,400,Qualification,AVV0,AVV0,BSB30915,Business Administration (Education),BSB30915 Certificate III in Business Administration (Education)
BSB31015,Certificate III in,Business Administration (Legal),Current,AVQ6,370,Qualification,AVQ6,AVQ6,BSB31015,Business Administration (Legal),BSB31015 Certificate III in Business Administration (Legal)
BSB31115,Certificate III in,Business Administration (Medical),Current,AVT0,425,Qualification,AVT0,AVT0,BSB31115,Business Administration (Medical),BSB31115 Certificate III in Business Administration (Medical)
BSB31215,Certificate III in,Library and Information Services,Current,AZK2,538,Qualification,AZK2,AZK2,BSB31215,Library and Information Services,BSB31215 Certificate III in Library and Information Services
BSB40115,Certificate IV in,Advertising,Replaced,AVQ7,450,Qualification,AVQ7,AVQ7,BSB40115,Advertising,BSB40115 Certificate IV in Advertising
BSB40215,Certificate IV in,Business,Current,AVV9,515,Qualification,AVV9,AVV9,BSB40215,Business,BSB40215 Certificate IV in Business
BSB40315,Certificate IV in,Customer Engagement,Current,AVW0,585,Qualification,AVW0,AVW0,BSB40315,Customer Engagement,BSB40315 Certificate IV in Customer Engagement
BSB40415,Certificate IV in,Small Business Management,Replaced,AVU6,420,Qualification,AVU6,AVU6,BSB40415,Small Business Management,BSB40415 Certificate IV in Small Business Management
BSB40515,Certificate IV in,Business Administration,Current,AVS9,530,Qualification,AVS9,AVS9,BSB40515,Business Administration,BSB40515 Certificate IV in Business Administration
BSB40615,Certificate IV in,Business Sales,Current,AVS8,410,Qualification,AVS8,AVS8,BSB40615,Business Sales,BSB40615 Certificate IV in Business Sales
BSB40715,Certificate IV in,Franchising,Current,AVT4,410,Qualification,AVT4,AVT4,BSB40715,Franchising,BSB40715 Certificate IV in Franchising
BSB40915,Certificate IV in,Governance,Current,AVR5,420,Qualification,AVR5,AVR5,BSB40915,Governance,BSB40915 Certificate IV in Governance
BSB41015,Certificate IV in,Human Resources,Current,AVT3,415,Qualification,AVT3,AVT3,BSB41015,Human Resources,BSB41015 Certificate IV in Human Resources
BSB41115,Certificate IV in,International Trade,Current,AVU1,440,Qualification,AVU1,AVU1,BSB41115,International Trade,BSB41115 Certificate IV in International Trade
BSB41315,Certificate IV in,Marketing,Replaced,AVS4,440,Qualification,AVS4,AVS4,BSB41315,Marketing,BSB41315 Certificate IV in Marketing
BSB41415,Certificate IV in,Work Health and Safety,Current,AVW3,470,Qualification,AVW3,AVW3,BSB41415,Work Health and Safety,BSB41415 Certificate IV in Work Health and Safety
BSB41515,Certificate IV in,Project Management Practice,Current,AVR2,330,Qualification,AVR2,AVR2,BSB41515,Project Management Practice,BSB41515 Certificate IV in Project Management Practice
