National Code,Title,TGA Status,State Code,Nominal Hours
BSBMKG402,Analyse consumer behaviour for specific markets,Replaced,AUJ44,50
BSBSUS301,Implement and monitor environmentally sustainable work practices,Replaced,AUI33,40
BSBADM101,Use business equipment and resources,Current,AUJ55,20
BSBADM301,Produce texts from shorthand notes,Current,AUL74,100
BSBADM302,Produce texts from notes,Current,AUL71,30
BSBADM303,Produce texts from audio transcription,Current,AUJ22,30
BSBADM307,Organise schedules,Current,AUL99,20
BSBADM311,Maintain business resources,Current,AUJ47,20
BSBADM401,Produce complex texts from shorthand notes,Current,AUK37,50
BSBADM405,Organise meetings,Current,AUI24,50
BSBADM406,Organise business travel,Current,AUK13,20
BSBADM407,Administer projects,Current,AUL03,40
BSBADM409,Coordinate business resources,Current,AUH10,20
BSBADM411,Produce complex texts from audio transcription,Current,AUH78,60
BSBADM502,Manage meetings,Current,AUH54,50
BSBADM503,Plan and manage conferences,Current,AUH99,60
BSBADM504,Plan and implement administrative systems,Current,AUJ75,60
BSBADM506,Manage business document design and development,Current,AUI66,50
BSBADV402,Conduct pre-campaign testing,Current,AUK57,80
BSBADV403,Monitor advertising production,Current,AUH19,80
BSBADV404,Schedule advertisements,Current,AUI90,40
BSBADV405,Perform media calculations,Current,AUJ33,40
BSBADV406,Buy and monitor media,Current,AUJ73,40
BSBADV407,Apply media analysis and processing tools,Current,AUK40,50
BSBADV408,Review advertising media options,Current,AUK94,40
BSBADV503,Coordinate advertising research,Current,AUH68,60
BSBADV507,Develop a media plan,Current,AUK39,60
BSBADV509,Create mass print media advertisements,Current,AUK31,80
BSBADV510,Create mass electronic media advertisements,Current,AUH09,80
BSBADV602,Develop an advertising campaign,Current,AUH37,80
BSBADV603,Manage advertising production,Current,AUJ96,60
BSBADV604,Execute an advertising campaign,Current,AUI38,80
BSBADV605,Evaluate campaign effectiveness,Current,AUH80,60
BSBATSIC411,Communicate with the community,Current,AUH96,30
BSBATSIC412,Maintain and protect cultural values in the organisation,Current,AUJ18,60
BSBATSIC511,Plan and conduct a community meeting,Current,AUH79,60
BSBATSIL408,Manage a board meeting,Current,AUK91,40
BSBATSIL411,Undertake the roles and responsibilities of a board member,Current,AUK97,40
BSBATSIL412,Participate effectively as a board member,Current,AUJ09,30
BSBATSIL413,Review and apply the constitution,Current,AUM48,40
BSBATSIL503,Manage conflict,Current,AUH13,60
BSBATSIL510,Appoint and work with a manager,Current,AUL81,30
BSBATSIL511,Lead the organisation's strategic planning cycle,Current,AUI67,50
BSBATSIL512,Be a leader in the community,Current,AUL93,60
BSBATSIM412,Implement a businesslike approach,Current,AUJ54,30
BSBATSIM414,Oversee the organisation's annual budget,Current,AUH92,40
BSBATSIM416,Oversee organisational planning,Current,AUI92,40
BSBATSIM417,Implement organisational plans,Current,AUI83,40
BSBATSIM418,Oversee financial management,Current,AUL31,50
BSBATSIM419,Contribute to the development and implementation of organisational policies,Current,AUL46,40
BSBATSIM420,Oversee asset management,Current,AUH89,40
BSBATSIM421,Support a positive and culturally appropriate workplace culture,Current,AUK11,40
BSBATSIM505,Control organisational finances,Current,AUL44,100
BSBATSIM506,Develop employment policies,Current,AUL30,40
BSBATSIM511,Develop enterprise opportunities,Current,AUL10,40
BSBATSIM514,Recruit and induct staff,Current,AUJ57,40
BSBATSIW416,Obtain and manage consultancy services,Current,AUK68,80
BSBATSIW417,Select and use technology,Current,AUH24,50
BSBATSIW514,Represent your organisation,Current,AUI58,40
BSBATSIW515,Secure funding,Current,Aug-93,40
BSBAUD402,Participate in a quality audit,Current,AUI79,35
BSBAUD501,Initiate a quality audit,Current,AUM33,40
BSBAUD503,Lead a quality audit,Current,AUI01,45
BSBAUD504,Report on a quality audit,Current,AUH46,40
BSBCMM101,Apply basic communication skills,Current,AUJ84,40
BSBCMM201,Communicate in the workplace,Current,AUL22,30
BSBCMM301,Process customer complaints,Current,AUK60,20
BSBCMM401,Make a presentation,Current,AUI59,30
BSBCMM402,Implement effective communication strategies,Current,AUL01,40
BSBCMM501,Develop and nurture relationships,Current,AUH69,40
BSBCNV501,Take instructions in relation to a transaction,Current,AUH16,80
BSBCNV502,Read and interpret a legal document and provide advice,Current,AUJ66,70
BSBCNV503,Analyse and interpret legal requirements for a transaction,Current,AUL25,45
BSBCNV504,Prepare legal documents,Current,AUK10,70
BSBCNV505,Finalise the conveyancing transaction,Current,AUL38,40
BSBCNV506,Establish and manage a trust account,Current,AUL19,40
BSBCNV601,Identify and conduct searches,Current,AUM08,40
BSBCOM401,Organise and monitor the operation of compliance management system,Current,AUK64,40
BSBCOM402,Implement processes for the management of a breach in compliance requirements,Current,AUH08,40
BSBCOM403,Provide education and training on compliance requirements and systems,Current,AUL67,40
BSBCOM404,"Promote and liaise on compliance requirements, systems and related issues",Current,AUJ15,50
BSBCOM405,Promote compliance with legislation,Current,AUL55,30
BSBCOM406,Conduct work within a compliance framework,Current,AUL98,30
BSBCOM501,Identify and interpret compliance requirements,Current,AUH23,20
BSBCOM502,Evaluate and review compliance,Current,AUM09,25
BSBCOM503,Develop processes for the management of breaches in compliance requirements,Current,AUJ05,30
BSBCOM601,Research compliance requirements and issues,Current,AUI41,50
BSBCOM602,Develop and create compliance requirements,Current,AUJ30,50
BSBCOM603,Plan and establish compliance management systems,Current,AUJ27,50
BSBCON401,Work effectively in a business continuity context,Current,AUM16,30
BSBCON601,Develop and maintain business continuity plans,Current,AUH02,50
BSBCON801,Establish and review the business continuity management framework and strategies,Current,AUL73,70
BSBCRT101,Apply critical thinking techniques,Current,AUL47,20
BSBCRT301,Develop and extend critical and creative thinking skills,Current,AUL43,40
BSBCRT401,"Articulate, present and debate ideas",Current,AUM24,40
BSBCRT402,Collaborate in a creative process,Current,AUK85,40
BSBCRT403,Explore the history and social impact of creativity,Current,AUH56,50
BSBCRT501,Originate and develop concepts,Current,AUI70,30
BSBCRT601,Research and apply concepts and theories of creativity,Current,AUI42,65
BSBCUE203,Conduct customer engagement,Current,AUJ37,100
BSBCUE204,Collect data,Current,AUI20,40
BSBCUE205,Prepare for work in a customer engagement environment,Current,AUI19,40
BSBCUE301,Use multiple information systems,Current,AUL27,40
BSBCUE302,Deploy customer service field staff,Current,AUI82,25
BSBCUE303,Conduct a telemarketing campaign,Current,AUJ62,40
BSBCUE304,Provide sales solutions to customers,Current,AUH95,40
BSBCUE305,Process credit applications,Current,AUK30,40
BSBCUE306,Process complex accounts,Current,AUM28,40
BSBCUE307,Work effectively in customer engagement,Current,AUL33,35
BSBCUE308,Conduct outbound customer engagement,Current,AUK75,20
BSBCUE309,Develop product and service knowledge for customer engagement operation,Current,AUH51,30
BSBCUE403,Schedule customer engagement activity,Current,AUH12,20
BSBCUE404,"Collect, analyse and record information",Current,AUK82,40
BSBCUE405,Survey stakeholders to gather and record information,Current,AUH26,40
BSBCUE406,Run a multicentre,Current,AUL37,50
BSBCUE407,Administer customer engagement technology,Current,AUJ45,25
BSBCUE501,Develop business continuity strategy,Current,AUJ39,130
BSBCUE502,Establish a multicentre,Current,AUM19,40
BSBCUE503,Manage data interrogation,Current,AUJ40,35
BSBCUE504,Integrate customer engagement within the organisation,Current,AUH77,80
BSBCUE601,Optimise customer engagement operations,Current,AUM26,80
